id,name,amount,sales_stage,probability,city,state,country,lead_source,lost_reason,closed_date,expected_closed_date,assigned_user_id,created_at,updated_at,deleted_at
25d912cb-21b4-4af1-a15b-cb21fe654d88,"Lal, Dyal and Sane CRM Deal",151596,Closed Won,100,Mumbai,Maharashtra,India,Referral,,2026-03-31,2026-05-29,08bef480-7ca7-4624-9756-6860f8fe8ba5,2026-05-16 07:28:32,2026-05-16 13:51:15.057338,
30d72774-4897-493e-a58a-abcbe75ffb9e,"Tandon, Salvi and Sidhu CRM Deal",157400,Closed Won,100,Surat,Gujarat,India,JustDial,,2025-11-23,2026-05-17,b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,2026-02-09 00:21:41,2026-05-16 13:51:15.057517,
afb225f3-d34d-44cf-b6b2-84bf84b86f50,Chakraborty-Shankar CRM Deal,66628,Proposal,80,Hyderabad,Telangana,India,LinkedIn,,,2026-05-25,f9140f89-9c0b-4ce1-8467-c50ef091fb7a,2026-01-30 08:41:08,2026-05-16 13:51:15.057651,
943bb13d-0191-4ed0-9aba-d8f39245a4bc,Das-Wali CRM Deal,324649,Negotiation,46,Pune,Maharashtra,India,LinkedIn,,,2026-05-26,566164f0-b746-41f4-b85a-4806de2c294b,2026-05-05 03:36:47,2026-05-16 13:51:15.057826,
6a492659-3a5c-44b2-bd98-7c55459afd40,Munshi-Savant CRM Deal,124834,Closed Lost,72,Kochi,Kerala,India,IndiaMART,,,2026-05-19,85cb5067-c9a3-4ea0-b695-f80c7e19abf2,2026-02-22 04:52:43,2026-05-16 13:51:15.058144,
84acbbd0-a65d-4b5a-835e-6d8482e04f26,Pandit Ltd CRM Deal,183658,Proposal,33,Kochi,Kerala,India,IndiaMART,,,2026-06-08,42050019-05f0-4de7-b45b-cea5eda7386f,2026-02-25 19:11:53,2026-05-16 13:51:15.058343,
0d89477c-7498-47c8-badb-b77ab1ec7a9d,Pingle-Barad CRM Deal,93195,Proposal,79,Nashik,Maharashtra,India,LinkedIn,,,2026-05-23,8daeff47-fa6c-4ca6-a276-681e87f1e034,2025-12-22 05:52:51,2026-05-16 13:51:15.058522,
669bc797-6b61-4a92-a107-95eda12b880c,"Badami, Gera and Hegde CRM Deal",57264,Closed Won,100,Bangalore,Karnataka,India,JustDial,,2025-12-30,2026-05-23,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-03-27 05:55:27,2026-05-16 13:51:15.058731,
ade4d9fc-84ee-4cdd-b947-d41445385d64,"Palla, Kohli and Uppal CRM Deal",349236,Negotiation,28,Ahmedabad,Gujarat,India,LinkedIn,,,2026-05-30,42050019-05f0-4de7-b45b-cea5eda7386f,2026-02-16 12:12:23,2026-05-16 13:51:15.058866,
7ecd32da-e1cb-426e-b100-acf6d76662b2,Chad PLC CRM Deal,43888,Closed Won,100,Hyderabad,Telangana,India,IndiaMART,,2026-03-24,2026-05-19,6f9c7382-0bb3-450e-aef4-dc8380654217,2025-12-10 02:48:39,2026-05-16 13:51:15.059040,
dceeb497-8891-4f08-a741-6b04631bcd34,"Vyas, Madan and Bhakta CRM Deal",280630,Negotiation,41,Chennai,Tamil Nadu,India,Referral,,,2026-06-14,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,2026-03-05 19:07:10,2026-05-16 13:51:15.059188,
97044826-15ee-4747-be1b-6ba910f70efc,"Thaman, Acharya and Aurora CRM Deal",234778,Proposal,55,Hyderabad,Telangana,India,Referral,,,2026-05-28,e75d85fc-9d80-421a-aa90-2624363de215,2025-12-03 21:16:15,2026-05-16 13:51:15.059317,
50775689-cfb7-4e9c-b4e7-9bf0751178fa,"Dara, Mohan and Shah CRM Deal",103695,Proposal,65,Pune,Maharashtra,India,LinkedIn,,,2026-05-21,85cb5067-c9a3-4ea0-b695-f80c7e19abf2,2026-03-25 00:22:57,2026-05-16 13:51:15.059445,
e0d68470-448d-4397-a487-0ab8737936ba,Bose-Patil CRM Deal,285990,Proposal,39,Kochi,Kerala,India,JustDial,,,2026-05-19,e43d49a0-a034-48f7-8094-69c8ec022f41,2026-05-12 15:02:45,2026-05-16 13:51:15.059594,
14d897ce-f0e4-4540-bba5-fb7d19703f63,"Modi, Sule and Parmar CRM Deal",259367,Closed Won,100,Bangalore,Karnataka,India,Referral,,2026-01-07,2026-06-06,13815ae1-d9c7-4b60-877c-5b354527caac,2025-12-22 12:19:18,2026-05-16 13:51:15.059786,
d44b14ca-f319-4da3-b912-08debabddf08,Dyal-Shan CRM Deal,362087,Closed Won,100,Hyderabad,Telangana,India,Website,,2026-01-05,2026-05-16,a479e5cf-9f94-4433-ad29-445f2f57265f,2026-05-14 16:02:04,2026-05-16 13:51:15.059947,
f5119214-ba67-4d44-af65-f60c331f41f9,Vig-Bandi CRM Deal,218338,Negotiation,64,Hyderabad,Telangana,India,IndiaMART,,,2026-05-28,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,2026-01-15 13:37:13,2026-05-16 13:51:15.060066,
26389054-35d4-491c-b6f6-57e22871a86f,"Parekh, Ratti and Khatri CRM Deal",282540,Proposal,56,Chennai,Tamil Nadu,India,LinkedIn,,,2026-05-30,404d7654-52ae-4333-91d7-753b4d63789e,2026-01-11 20:47:14,2026-05-16 13:51:15.060215,
5648aada-38e4-4bfc-a00b-741845c642b0,"Dua, Joshi and Shah CRM Deal",392306,Closed Won,100,Bangalore,Karnataka,India,Referral,,2026-03-22,2026-05-19,f8ad7ff5-bd31-4f9e-934f-a32327b5c155,2026-01-28 14:05:03,2026-05-16 13:51:15.060413,
6fd59a92-cdf8-4552-8e52-9abf193a5534,Johal-Mohan CRM Deal,63276,Closed Won,100,Chennai,Tamil Nadu,India,Website,,2026-02-24,2026-05-24,13815ae1-d9c7-4b60-877c-5b354527caac,2026-01-29 06:57:34,2026-05-16 13:51:15.060641,
c0ee35c7-254e-4992-be46-27a25bfd4370,Patla-Krishnan CRM Deal,209708,Proposal,35,Surat,Gujarat,India,Website,,,2026-05-23,b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,2026-02-16 13:08:58,2026-05-16 13:51:15.060819,
981172ee-3ad8-4cdc-9bcd-8c967780922a,Sinha-Madan CRM Deal,342250,Closed Won,100,Kochi,Kerala,India,LinkedIn,,2025-12-29,2026-06-07,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-01-12 16:14:32,2026-05-16 13:51:15.060987,
da2ccab0-b5f8-4069-8e33-12247a4761b2,Bala-Memon CRM Deal,86560,Closed Won,100,Kochi,Kerala,India,Referral,,2026-03-13,2026-05-21,404d7654-52ae-4333-91d7-753b4d63789e,2025-12-20 07:46:02,2026-05-16 13:51:15.061154,
7041d78a-0edb-4037-b408-a3c09cc5f851,"Borra, Saini and Balay CRM Deal",420124,Closed Won,100,Pune,Maharashtra,India,Referral,,2025-12-13,2026-06-01,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-03-07 16:17:29,2026-05-16 13:51:15.061326,
f930e29f-7e3e-44eb-8ced-b28ff81fc18f,Pandit-Nair CRM Deal,252934,Proposal,78,Hyderabad,Telangana,India,Website,,,2026-05-20,0c6634a5-fb54-4e6c-91ef-7ec0e2cc3378,2025-12-25 02:37:43,2026-05-16 13:51:15.061455,
54f63577-2804-4d9b-be56-ef84726c5778,"Mangal, Nayak and Gupta CRM Deal",130674,Proposal,21,Pune,Maharashtra,India,Referral,,,2026-06-11,566164f0-b746-41f4-b85a-4806de2c294b,2026-04-14 18:46:59,2026-05-16 13:51:15.061613,
7767b597-fbae-4c42-8f48-28a8187c0d77,"Rege, Andra and Tandon CRM Deal",236240,Proposal,53,Surat,Gujarat,India,JustDial,,,2026-06-09,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-04-11 19:07:10,2026-05-16 13:51:15.061772,
e7fb179d-3631-4877-be3c-c2211c13deac,Desai Group CRM Deal,371817,Closed Won,100,Bangalore,Karnataka,India,JustDial,,2026-03-15,2026-06-12,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-02-08 08:29:07,2026-05-16 13:51:15.061943,
f6ca0694-bbfb-4355-9f3b-45d6902d090d,Sanghvi Ltd CRM Deal,362417,Closed Won,100,Chennai,Tamil Nadu,India,Referral,,2025-11-20,2026-06-02,6f9c7382-0bb3-450e-aef4-dc8380654217,2025-12-29 14:23:04,2026-05-16 13:51:15.062113,
230ac80e-75b9-4925-b9d2-6f6eab2afae4,Krishna Group CRM Deal,197588,Proposal,32,Delhi,Delhi,India,JustDial,,,2026-06-08,42050019-05f0-4de7-b45b-cea5eda7386f,2025-12-04 06:07:38,2026-05-16 13:51:15.062242,
68bf123d-b1d8-47a1-8270-90b1acae47fd,Aggarwal-Chana CRM Deal,343828,Proposal,71,Pune,Maharashtra,India,LinkedIn,,,2026-05-29,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2025-11-29 08:03:05,2026-05-16 13:51:15.062393,
56b5599f-1a30-4b27-9cea-a584533ac8aa,Muni PLC CRM Deal,89226,Negotiation,53,Delhi,Delhi,India,Referral,,,2026-06-07,566164f0-b746-41f4-b85a-4806de2c294b,2026-03-18 17:11:57,2026-05-16 13:51:15.062522,
d89aa22c-e1a3-4b9b-944a-6a0829a7ca90,"Halder, Dhaliwal and Raj CRM Deal",290560,Closed Won,100,Chennai,Tamil Nadu,India,IndiaMART,,2026-05-07,2026-05-22,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-02-10 09:14:42,2026-05-16 13:51:15.062696,
70c230e1-7545-44de-9885-40c2445efb85,Suri LLC CRM Deal,428773,Proposal,51,Surat,Gujarat,India,Referral,,,2026-06-02,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-03-03 07:59:10,2026-05-16 13:51:15.062822,
b6b30a84-e23c-4978-80a0-fe072101498d,Joshi-Bhavsar CRM Deal,407526,Closed Won,100,Chennai,Tamil Nadu,India,IndiaMART,,2026-01-16,2026-06-14,e75d85fc-9d80-421a-aa90-2624363de215,2025-12-30 22:58:32,2026-05-16 13:51:15.062988,
afe18706-521f-4d7a-a532-68e7d644d727,Batta LLC CRM Deal,316940,Proposal,40,Chennai,Tamil Nadu,India,JustDial,,,2026-05-27,f9140f89-9c0b-4ce1-8467-c50ef091fb7a,2026-05-14 20:19:16,2026-05-16 13:51:15.063113,
176b06ad-d578-4b17-acf3-01306f65be09,Gill and Sons CRM Deal,345290,Closed Lost,42,Ahmedabad,Gujarat,India,JustDial,,,2026-05-29,fca4d392-94e8-47e1-bdb4-3dca1cb88b3a,2025-12-08 14:41:30,2026-05-16 13:51:15.063241,
6eb1917a-4a6b-4dee-bf47-b6e75d39daff,Gola-Bhatnagar CRM Deal,470570,Closed Won,100,Kochi,Kerala,India,LinkedIn,,2025-12-20,2026-05-30,560f2adc-162e-473b-8cd1-0546376e74e9,2026-01-29 01:19:08,2026-05-16 13:51:15.063434,
e72ccde8-8b6e-4c5f-8285-4e9ecbfcc721,Radhakrishnan LLC CRM Deal,452096,Negotiation,45,Kochi,Kerala,India,JustDial,,,2026-06-09,08bef480-7ca7-4624-9756-6860f8fe8ba5,2026-03-17 00:45:16,2026-05-16 13:51:15.063588,
8e8a17a4-6180-4b1b-9c6b-0a48337bbd8c,Lalla-Amble CRM Deal,207667,Proposal,76,Surat,Gujarat,India,IndiaMART,,,2026-06-06,a479e5cf-9f94-4433-ad29-445f2f57265f,2025-12-15 06:31:17,2026-05-16 13:51:15.063776,
26d9fa2d-0bd4-4a6b-8e66-12f99f03a5d7,"Tailor, Nagy and Barad CRM Deal",151455,Negotiation,31,Ahmedabad,Gujarat,India,Referral,,,2026-06-02,42050019-05f0-4de7-b45b-cea5eda7386f,2026-02-11 08:46:36,2026-05-16 13:51:15.063938,
3b4212a2-69d3-401b-9c85-50c1c7265d77,Sandhu-Agarwal CRM Deal,495566,Negotiation,80,Chennai,Tamil Nadu,India,IndiaMART,,,2026-06-03,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-02-20 13:06:44,2026-05-16 13:51:15.064453,
b1a91ebe-fc86-438d-9b2d-5eb5e5c3985d,Misra-Sarma CRM Deal,179422,Closed Lost,30,Pune,Maharashtra,India,JustDial,,,2026-05-29,566164f0-b746-41f4-b85a-4806de2c294b,2026-04-13 19:00:32,2026-05-16 13:51:15.064680,
38ee148e-0eef-45bc-88c6-28a2e7124ac4,"Bhasin, Ramachandran and Madan CRM Deal",343916,Closed Won,100,Nashik,Maharashtra,India,Referral,,2026-03-08,2026-06-07,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-01-17 03:30:00,2026-05-16 13:51:15.064896,
2209e239-58aa-41d4-a8b9-b7c47afa7a1b,Jaggi Ltd CRM Deal,270810,Closed Won,100,Ahmedabad,Gujarat,India,Website,,2026-03-04,2026-06-05,fca4d392-94e8-47e1-bdb4-3dca1cb88b3a,2026-04-25 03:43:34,2026-05-16 13:51:15.065084,
9e19274e-ee67-448d-a72c-3f2e6b3f1bd9,"Prashad, Oak and Ganesan CRM Deal",457349,Closed Won,100,Kochi,Kerala,India,Referral,,2026-03-29,2026-06-08,f8ad7ff5-bd31-4f9e-934f-a32327b5c155,2025-12-08 00:41:58,2026-05-16 13:51:15.065284,
b0a64191-296f-42cc-8f04-72f4dcdf9aa7,Deshpande-Edwin CRM Deal,380967,Negotiation,62,Bangalore,Karnataka,India,Referral,,,2026-06-13,404d7654-52ae-4333-91d7-753b4d63789e,2026-04-29 17:37:29,2026-05-16 13:51:15.065419,
3dfbbcdb-7338-40e5-a4a3-7d2b485e3d47,"Kadakia, Ramesh and Om CRM Deal",402239,Closed Won,100,Delhi,Delhi,India,JustDial,,2025-12-20,2026-05-24,85cb5067-c9a3-4ea0-b695-f80c7e19abf2,2025-11-30 04:18:11,2026-05-16 13:51:15.065630,
a82c3bd5-bd07-42bd-b229-def788dc2a55,More-Doctor CRM Deal,76277,Closed Won,100,Chennai,Tamil Nadu,India,JustDial,,2026-02-25,2026-06-06,3c2514fb-429d-444a-bc6c-7c4a2ce757be,2025-12-05 03:43:54,2026-05-16 13:51:15.065806,
39b24aa9-17da-4dc1-8839-f7c19ae83007,Kari-Jain CRM Deal,303142,Closed Won,100,Pune,Maharashtra,India,Referral,,2025-12-08,2026-06-04,e75d85fc-9d80-421a-aa90-2624363de215,2026-01-29 17:46:00,2026-05-16 13:51:15.065998,
10eb860e-8650-45bb-a789-e9236f4afffa,Chawla-Sule CRM Deal,237197,Closed Won,100,Pune,Maharashtra,India,Website,,2026-04-13,2026-05-22,13815ae1-d9c7-4b60-877c-5b354527caac,2026-05-04 10:45:19,2026-05-16 13:51:15.066163,
465191e6-38e6-4bb2-845f-fb6f6d09b18f,Rastogi Ltd CRM Deal,362587,Closed Won,100,Kochi,Kerala,India,LinkedIn,,2026-02-12,2026-05-30,404d7654-52ae-4333-91d7-753b4d63789e,2026-02-09 01:06:18,2026-05-16 13:51:15.066340,
282a49bf-469e-4731-84ff-52cc0320b3f1,Mann Inc CRM Deal,56578,Closed Won,100,Pune,Maharashtra,India,Website,,2026-02-10,2026-06-01,404d7654-52ae-4333-91d7-753b4d63789e,2026-02-27 09:10:51,2026-05-16 13:51:15.066503,
2b94f0e0-f924-4946-8f4c-52ea99596dce,Lad-Mane CRM Deal,55621,Proposal,28,Ahmedabad,Gujarat,India,Referral,,,2026-06-12,566164f0-b746-41f4-b85a-4806de2c294b,2026-04-13 20:10:37,2026-05-16 13:51:15.066625,
8afd4b95-a680-43e1-856a-3f97eacb919f,"Bansal, Chahal and Seth CRM Deal",458549,Negotiation,79,Chennai,Tamil Nadu,India,JustDial,,,2026-05-21,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2025-12-19 11:50:04,2026-05-16 13:51:15.066754,
4b8c59d9-92a8-4d89-8142-016ab6174da3,Issac-Goda CRM Deal,177836,Closed Lost,54,Chennai,Tamil Nadu,India,LinkedIn,,,2026-05-17,08bef480-7ca7-4624-9756-6860f8fe8ba5,2026-02-22 22:47:06,2026-05-16 13:51:15.066878,
0424f7ff-b337-42f1-bc59-47c0dcc460a0,Sidhu-Kibe CRM Deal,137502,Closed Won,100,Pune,Maharashtra,India,JustDial,,2025-12-04,2026-05-24,0c6634a5-fb54-4e6c-91ef-7ec0e2cc3378,2026-02-17 20:51:31,2026-05-16 13:51:15.067093,
7c6121d1-34ee-49ab-be81-2a2ffe3bb0e6,Bhattacharyya-Nazareth CRM Deal,358160,Closed Won,100,Bangalore,Karnataka,India,IndiaMART,,2025-12-16,2026-05-18,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-05-16 00:24:56,2026-05-16 13:51:15.067262,
46c670db-a502-43d8-810b-683a9e78e486,"Keer, Mane and Hans CRM Deal",59624,Closed Won,100,Surat,Gujarat,India,IndiaMART,,2025-12-14,2026-05-25,404d7654-52ae-4333-91d7-753b4d63789e,2026-05-13 14:35:41,2026-05-16 13:51:15.067452,
3351dc07-fec1-4098-9098-9843638a9e85,Manda PLC CRM Deal,404690,Proposal,22,Kochi,Kerala,India,LinkedIn,,,2026-05-21,b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,2026-04-25 22:50:12,2026-05-16 13:51:15.067600,
81ce98aa-411f-4401-99f1-cc14c16af3d0,Varghese-Kota CRM Deal,83735,Proposal,65,Chennai,Tamil Nadu,India,JustDial,,,2026-06-14,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-02-22 03:44:57,2026-05-16 13:51:15.067722,
5f8f4fab-4911-4ced-aa8c-089ff3665948,Kibe-Varma CRM Deal,334672,Closed Won,100,Pune,Maharashtra,India,LinkedIn,,2025-12-23,2026-06-14,560f2adc-162e-473b-8cd1-0546376e74e9,2026-01-20 12:21:38,2026-05-16 13:51:15.067903,
e59eb5d8-d6c1-47fe-ad77-b440bbe635e3,Balay-Ratta CRM Deal,481922,Negotiation,57,Mumbai,Maharashtra,India,IndiaMART,,,2026-05-17,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-01-17 16:58:09,2026-05-16 13:51:15.068026,
ddef7765-c648-4218-9b0a-649a2618780e,Kapadia-Amble CRM Deal,498747,Proposal,57,Ahmedabad,Gujarat,India,LinkedIn,,,2026-06-06,7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,2026-01-16 10:22:59,2026-05-16 13:51:15.068149,
1c746836-a792-4687-b52a-3d4fdac25dbe,Mitter-Prakash CRM Deal,41807,Proposal,41,Bangalore,Karnataka,India,IndiaMART,,,2026-06-07,42050019-05f0-4de7-b45b-cea5eda7386f,2026-04-11 15:14:04,2026-05-16 13:51:15.068271,
497b2dce-fb43-4a35-8aaa-372bb3f343c7,More Inc CRM Deal,166579,Proposal,36,Nashik,Maharashtra,India,Website,,,2026-05-28,e43d49a0-a034-48f7-8094-69c8ec022f41,2025-12-04 21:03:36,2026-05-16 13:51:15.068392,
c8b18550-f9fa-4f4b-bd40-184c803c42a4,"Bir, Bains and Sibal CRM Deal",260912,Negotiation,75,Delhi,Delhi,India,JustDial,,,2026-05-29,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-03-11 01:41:13,2026-05-16 13:51:15.068518,
139652a4-98e2-4964-8a8c-2f81a6b11ee1,Kibe-Ghosh CRM Deal,290797,Closed Won,100,Ahmedabad,Gujarat,India,Website,,2026-01-23,2026-05-25,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-04-05 23:52:33,2026-05-16 13:51:15.068689,
8f684df6-11fb-4b18-8010-3ecd83162be6,Krishnamurthy-Chander CRM Deal,102712,Closed Won,100,Bangalore,Karnataka,India,IndiaMART,,2026-01-07,2026-05-18,f8ad7ff5-bd31-4f9e-934f-a32327b5c155,2026-04-19 22:17:03,2026-05-16 13:51:15.068853,
1443c857-c069-4511-be1c-2222379a7046,Panchal Inc CRM Deal,172843,Closed Won,100,Mumbai,Maharashtra,India,LinkedIn,,2026-04-25,2026-05-20,0c6634a5-fb54-4e6c-91ef-7ec0e2cc3378,2026-03-29 17:13:39,2026-05-16 13:51:15.069013,
8eb8fc83-3fa0-44b3-b22a-82c7c1832c55,Shere-Mohanty CRM Deal,190799,Proposal,27,Ahmedabad,Gujarat,India,Referral,,,2026-05-30,e43d49a0-a034-48f7-8094-69c8ec022f41,2025-12-09 05:42:57,2026-05-16 13:51:15.069134,
082b00cc-d0d8-4234-bcd5-cbc3bb83b56f,"Dey, Pillai and Chada CRM Deal",429556,Closed Lost,25,Bangalore,Karnataka,India,IndiaMART,,,2026-05-17,7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,2026-05-13 11:03:58,2026-05-16 13:51:15.069274,
95d27b81-3b60-4682-884b-cba0b0c53708,"Ganesh, Sawhney and Nigam CRM Deal",146060,Closed Won,100,Hyderabad,Telangana,India,LinkedIn,,2026-01-11,2026-05-31,e43d49a0-a034-48f7-8094-69c8ec022f41,2026-04-14 18:06:27,2026-05-16 13:51:15.069445,
ea52026e-4490-43f7-947f-82cbde70e647,Pathak-Prasad CRM Deal,446113,Negotiation,60,Chennai,Tamil Nadu,India,LinkedIn,,,2026-05-26,a479e5cf-9f94-4433-ad29-445f2f57265f,2025-12-28 04:04:28,2026-05-16 13:51:15.069569,
813eead8-c1e2-4cc1-87e4-634d924f97f6,Sule-Bhatt CRM Deal,59523,Closed Won,100,Pune,Maharashtra,India,Referral,,2025-11-29,2026-06-08,42050019-05f0-4de7-b45b-cea5eda7386f,2026-02-07 16:12:58,2026-05-16 13:51:15.069731,
be011f61-70f9-4b13-a182-ebc812a4d596,"Kalita, Sethi and Mander CRM Deal",300964,Proposal,42,Bangalore,Karnataka,India,IndiaMART,,,2026-06-12,7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,2026-05-11 12:06:51,2026-05-16 13:51:15.069870,
eeab11b5-7491-40e8-adf8-4e60a53ae31a,Malhotra and Sons CRM Deal,106173,Closed Won,100,Pune,Maharashtra,India,JustDial,,2025-12-18,2026-05-26,85cb5067-c9a3-4ea0-b695-f80c7e19abf2,2026-01-11 16:52:46,2026-05-16 13:51:15.070039,
5bccd19e-462d-46b0-a1c8-f65e46709436,"Mukhopadhyay, Pant and Goswami CRM Deal",419481,Proposal,55,Delhi,Delhi,India,Website,,,2026-06-06,f8ad7ff5-bd31-4f9e-934f-a32327b5c155,2026-04-23 20:31:11,2026-05-16 13:51:15.070168,
761c4e21-8d28-4b0f-9c03-c21c9639b8d5,Modi Group CRM Deal,45357,Closed Won,100,Delhi,Delhi,India,Referral,,2025-12-31,2026-05-24,fca4d392-94e8-47e1-bdb4-3dca1cb88b3a,2026-02-12 21:59:49,2026-05-16 13:51:15.070327,
1f5f0fde-9326-442d-aaa1-1ed50f2f71df,Aurora LLC CRM Deal,237076,Closed Won,100,Mumbai,Maharashtra,India,LinkedIn,,2025-12-25,2026-06-05,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2025-12-27 13:46:16,2026-05-16 13:51:15.070490,
b8c107b2-7bad-4592-878d-e245641dd84a,"Shere, Dash and Soman CRM Deal",348427,Closed Won,100,Delhi,Delhi,India,Website,,2025-12-03,2026-06-13,404d7654-52ae-4333-91d7-753b4d63789e,2026-05-14 09:41:04,2026-05-16 13:51:15.070655,
a4dbd9f2-4c06-4030-98d1-d1d8f6246152,Chaudhuri PLC CRM Deal,63636,Proposal,25,Nashik,Maharashtra,India,LinkedIn,,,2026-06-11,616ac0bf-be55-4a3c-aa34-f023ca00068f,2026-03-10 15:34:02,2026-05-16 13:51:15.070778,
73d7ed8d-3cd0-44b9-9715-00c7550d8274,Srivastava Group CRM Deal,476964,Closed Lost,75,Pune,Maharashtra,India,Referral,,,2026-05-27,566164f0-b746-41f4-b85a-4806de2c294b,2026-03-06 11:55:53,2026-05-16 13:51:15.070897,
